"院校","专业","投档最低分","人数","位次","语数成绩","语数最高成绩","外语成绩","物理分数","再选科目最高成绩","再选科目次高成绩","志愿号"
北京农学院[公办],酿酒工程,"525","1389","86309","206","106","118","46","87","68","14"
北京农学院[公办],植物保护(植物医学),"525","1389","86309","199","103","104","58","83","81","14"
北京农学院[公办],农业资源与环境,"525","1389","86309","216","110","97","62","86","64","10"
北京农学院[公办],设施农业科学与工程,"526","1354","84920","199","114","115","58","83","71","1"
北京农学院[公办],林学(古树保护),"526","1354","84920","209","119","109","42","87","79","11"
北京农学院[公办],应用化学,"527","1319","83566","191","96","117","56","82","81","16"
北京农学院[公办],园林,"530","1240","79669","208","107","91","70","85","76","16"
北京农学院[公办],园艺,"531","1298","78429","212","106","112","36","87","84","3"
北京农学院[公办],农学(作物遗传育种),"532","1264","77131","199","105","87","66","91","89","10"
北京农学院[公办],生物工程,"534","1193","74627","214","115","94","65","87","74","10"
北京农学院[公办],动物科学,"535","1230","73434","210","119","120","51","87","67","3"
北京农学院[公办],食品质量与安全,"537","1225","70986","197","104","118","58","87","77","43"
北京农学院[公办],园艺(实验班),"539","1196","68573","219","114","107","54","80","79","50"
北京农学院[公办],生物育种技术,"539","1196","68573","219","113","74","74","93","79","29"
北京农学院[公办],林学(城市林业),"543","1159","63909","207","107","115","60","85","76","23"
北京农学院[公办],数据科学与大数据技术,"549","1070","57150","212","112","99","64","87","87","41"
北京农学院[公办],动物医学,"557","1007","48790","223","117","125","36","87","86","2"
