"院校","专业","投档最低分","人数","位次","语数成绩","语数最高成绩","外语成绩","物理分数","再选科目最高成绩","再选科目次高成绩","志愿号"
北京城市学院[民办],金融科技,"498","1638","125913","195","100","99","45","88","71","56"
北京城市学院[民办],地理信息科学,"494","1569","132191","197","105","112","26","84","75","8"
北京城市学院[民办],机械类,"479","1580","156509","186","103","99","55","70","69","22"
北京城市学院[民办],人工智能(校企合作班),"466","1676","178082","179","91","69","56","88","74","51"
北京城市学院[民办],计算机科学与技术(校企合作班),"506","1558","113442","202","118","100","47","82","75","27"
北京城市学院[民办],软件工程(校企合作班),"474","1628","164692","190","111","88","42","87","67","3"
北京城市学院[民办],数据科学与大数据技术(校企合作班),"484","1616","148325","199","109","96","36","90","63","7"
北京城市学院[民办],土木工程(智能设计与建造),"475","1648","163064","187","95","82","57","77","72","28"
北京城市学院[民办],建筑学,"488","1583","141822","190","102","96","44","82","76","17"
北京城市学院[民办],康复治疗学,"487","1617","143439","182","99","94","49","81","81","8"
北京城市学院[民办],工程造价,"487","1617","143439","189","101","96","43","88","71","6"
北京城市学院[民办],工商管理类,"498","1638","125913","192","101","112","41","85","68","15"
北京城市学院[民办],会计学,"512","1473","104398","210","108","98","44","91","69","10"
北京城市学院[民办],旅游管理类,"493","1552","133743","187","104","110","39","83","74","8"
