"院校","专业","投档最低分","人数","位次","语数成绩","语数最高成绩","外语成绩","物理分数","再选科目最高成绩","再选科目次高成绩","志愿号"
北京工业大学耿丹学院[独立学院],金融工程,"460","1559","187795","171","93","105","50","68","66","15"
北京工业大学耿丹学院[独立学院],国际经济与贸易,"457","1593","192564","181","110","69","46","87","74","53"
北京工业大学耿丹学院[独立学院],汉语国际教育,"461","1570","186236","192","112","73","41","83","72","16"
北京工业大学耿丹学院[独立学院],机械设计制造及其自动化(机器人方向),"460","1559","187795","183","93","104","32","72","69","32"
北京工业大学耿丹学院[独立学院],工业设计,"454","1595","197430","170","92","107","43","71","63","12"
北京工业大学耿丹学院[独立学院],电子信息类,"459","1574","189369","171","109","102","47","80","59","7"
北京工业大学耿丹学院[独立学院],计算机类,"464","1614","181345","200","101","98","40","67","59","17"
北京工业大学耿丹学院[独立学院],数字媒体技术,"457","1593","192564","172","108","66","45","89","85","7"
北京工业大学耿丹学院[独立学院],建筑学,"453","1646","199076","167","98","118","36","68","64","8"
北京工业大学耿丹学院[独立学院],城乡规划,"451","1593","202291","164","104","111","33","73","70","14"
北京工业大学耿丹学院[独立学院],财务管理,"467","1668","176406","180","91","69","53","84","81","19"
