"院校","专业","投档最低分","人数","位次","语数成绩","语数最高成绩","外语成绩","物理分数","再选科目最高成绩","再选科目次高成绩","志愿号"
北京邮电大学世纪学院[独立学院],英语,"475","1648","163064","156","103","109","51","90","69","2"
北京邮电大学世纪学院[独立学院],机械电子工程,"479","1580","156509","189","95","61","53","89","87","37"
北京邮电大学世纪学院[独立学院],通信工程,"471","1727","169754","205","104","98","33","72","63","24"
北京邮电大学世纪学院[独立学院],自动化,"481","1706","153287","182","94","89","61","82","67","21"
北京邮电大学世纪学院[独立学院],计算机科学与技术,"475","1648","163064","171","107","102","45","80","77","65"
北京邮电大学世纪学院[独立学院],软件工程,"481","1706","153287","179","93","100","37","87","68","25"
北京邮电大学世纪学院[独立学院],物联网工程,"473","1657","166349","187","109","102","33","79","72","7"
北京邮电大学世纪学院[独立学院],数字媒体技术,"504","1544","116445","162","87","110","63","87","82","3"
北京邮电大学世纪学院[独立学院],财务管理,"479","1580","156509","157","96","108","52","91","71","17"
北京邮电大学世纪学院[独立学院],财务管理(国际注册会计师),"493","1552","133743","195","106","77","60","81","80","36"
北京邮电大学世纪学院[独立学院],电子商务,"475","1648","163064","187","102","110","40","81","57","14"
